name,category,five_color,nature,effects,is_condiment
銀耳(白木耳),菇菌類,白,平,滋陰潤肺、養胃生津,False
猴頭菇,菇菌類,黃,平,健脾養胃、安神、抗癌,False
草菇,菇菌類,黑,寒,清熱解暑、補益氣血,False
板豆腐,豆製品,白,涼,益氣和中、生津潤燥、清熱解毒,False
嫩豆腐,豆製品,白,寒,益氣和中、生津潤燥、清熱解毒,False
豆干,豆製品,黃,平,補中益氣、清熱解毒,False
豆包,豆製品,黃,平,補中益氣、健脾利濕,False
腐皮,豆製品,黃,平,清肺養胃、斂汗,False
凍豆腐,豆製品,白,平,吸收湯汁、益氣和中,False
豆漿,豆製品,白,平,補虛潤燥、清肺化痰、通淋,False
毛豆,豆製品,青,平,健脾除濕、潤燥解毒,False
黑豆,豆製品,黑,平,補腎益陰、健脾利濕、除熱解毒,False
黃豆,豆製品,黃,平,健脾寬中、潤燥消水,False
紅豆,豆製品,赤,平,利水消腫、解毒排膿,False
綠豆,豆製品,青,涼,清熱解毒、消暑利水,False
麵腸,豆製品,白,平,補益脾胃、解熱止渴,False
素火腿,豆製品,赤,平,豐富口感、補充蛋白(加工食品宜少),False
素肉燥,豆製品,赤,溫,開胃下飯(加工食品宜少),False
素雞,豆製品,黃,平,補充植物蛋白,False
素肚,豆製品,黃,平,補充植物蛋白,False
雞蛋,蛋奶類,黃,平,滋陰潤燥、養血安胎,False
皮蛋,蛋奶類,黑,寒,清涼、瀉熱、醒酒,False
鮮奶,蛋奶類,白,平,補虛損、益肺胃、生津潤膚,False
起司,蛋奶類,黃,溫,補肺潤腸、養陰補血,False
優格,蛋奶類,白,涼,生津止渴、補虛開胃、潤腸通便,False
奶油,蛋奶類,黃,溫,補五臟、益氣血,False
白米,五穀雜糧,白,平,補中益氣、健脾養胃,False
糙米,五穀雜糧,黃,溫,健脾養胃、補中益氣、調和五臟,False
紫米,五穀雜糧,黑,溫,補血益氣、暖脾胃,False
燕麥,五穀雜糧,白,平,補脾益氣、止虛汗,False
麵條,五穀雜糧,白,溫,養心氣、強筋骨,False
米粉,五穀雜糧,白,平,補中益氣,False
冬粉,五穀雜糧,白,平,吸收湯汁,False
饅頭,五穀雜糧,白,溫,養胃氣、消脹氣,False
吐司,五穀雜糧,白,溫,補充熱量,False
薏仁,五穀雜糧,白,涼,健脾滲濕、除痹止瀉、清熱排膿,False
栗子,五穀雜糧,黃,溫,養胃健脾、補腎強筋,False
菱角,五穀雜糧,白,平,健脾益氣、抗癌,False
蘋果,水果類,赤,平,生津止渴、潤肺除煩、健脾益胃,False
香蕉,水果類,黃,寒,清熱潤腸、潤肺解酒,False
芭樂,水果類,青,平,收斂止瀉、消炎止血,False
葡萄,水果類,黑,平,補氣血、益肝腎、生津液,False
奇異果,水果類,青,寒,清熱生津、健脾止瀉,False
火龍果,水果類,赤,寒,清熱潤肺、護胃潤腸,False
柳丁,水果類,黃,涼,生津止渴、開胃下氣,False
西瓜,水果類,赤,寒,清熱解暑、除煩止渴、利尿,False
木瓜,水果類,黃,平,健脾消食、清熱祛風,False
鳳梨,水果類,黃,平,健脾解渴、消食止瀉,False
檸檬,水果類,青,平,生津止渴、祛暑安胎,False
酪梨,水果類,青,平,滋補肝腎、益氣養血,False
蓮霧,水果類,赤,涼,寧心安神、清熱利尿,False
釋迦,水果類,白,平,補脾胃、健腦,False
薑,調味品,黃,溫,發汗解表、溫中止嘔,True
辣椒,調味品,赤,熱,溫中散寒、開胃消食,True
九層塔,調味品,青,溫,疏風解表、化濕和中,True
香菜,調味品,青,溫,發汗透疹、消食下氣,True
醬油,調味品,黑,平,調味、開胃,True
素蠔油,調味品,黑,平,提鮮、調味,True
鹽,調味品,白,寒,清熱解毒、涼血潤燥,True
糖,調味品,白,平,補中緩急、潤肺生津,True
黑醋,調味品,黑,溫,散瘀止血、解毒殺蟲,True
白醋,調味品,白,溫,開胃消食、散瘀消腫,True
黑麻油,調味品,黑,熱,補氣補血、潤腸通便,True
香油(白麻油),調味品,黃,平,潤燥通便、解毒生肌,True
豆瓣醬,調味品,赤,平,開胃助食(注意含辣),True
素沙茶,調味品,赤,溫,增香提味(注意油脂),True
白胡椒,調味品,白,熱,溫中散寒、下氣消痰,True
黑胡椒,調味品,黑,熱,溫中散寒、開胃,True
八角,調味品,赤,溫,溫陽散寒、理氣止痛,True
肉桂,調味品,赤,熱,補火助陽、散寒止痛,True
咖哩粉,調味品,黃,溫,促進代謝、增進食慾,True
核桃,堅果種子類,黃,溫,補腎固精、溫肺定喘、潤腸,False
腰果,堅果種子類,黃,平,補腦養血、補腎健脾,False
杏仁(堅果),堅果種子類,白,平,潤肺止咳、潤腸通便,False
芝麻,堅果種子類,黑,平,補肝腎、益精血、潤腸燥,False
花生,堅果種子類,黃,平,健脾和胃、潤肺化痰,False
南瓜子,堅果種子類,青,平,殺蟲、利水消腫,False
葵花子,堅果種子類,黃,平,平肝祛風、清濕熱,False
松子,堅果種子類,白,溫,滋陰潤肺、滑腸通便,False
開心果,堅果種子類,黃,溫,溫腎暖脾、補氣,False
夏威夷豆,堅果種子類,白,平,補腦益智、調節血脂,False
海帶,藻類,黑,寒,軟堅散結、消痰利水,False
紫菜,藻類,黑,寒,軟堅散結、清熱利水,False
海苔,藻類,黑,寒,清熱利尿、軟堅,False
海帶芽,藻類,青,寒,清熱利水、軟堅散結,False
珊瑚草(海燕窩),藻類,白,寒,滋陰潤燥、清熱解毒,False
愛玉,甜品/點心類,黃,涼,清熱解暑、生津止渴,False
仙草,甜品/點心類,黑,寒,清熱解暑、涼血解毒,False
寒天(洋菜),甜品/點心類,白,寒,清熱解暑、潤腸通便,False
蒟蒻,甜品/點心類,白,寒,化痰散結、行瘀消腫,False
豆花,甜品/點心類,白,平,清熱潤燥、生津解毒,False
蜂蜜,甜品/點心類,黃,平,補中潤燥、止痛解毒,False
黑糖,甜品/點心類,黑,溫,活血化瘀、溫補,False
義大利麵(直麵),五穀雜糧,白,平,補充熱量、小麥製品,False
筆管麵,五穀雜糧,白,平,補充熱量、吸附醬汁,False
義大利燉飯米,五穀雜糧,白,平,補充熱量、口感Q彈,False
千層麵皮,五穀雜糧,白,平,補充熱量,False
摩扎瑞拉起司(Mozzarella),蛋奶類,白,平,補充鈣質、蛋白質,False
帕瑪森起司粉,蛋奶類,黃,平,增添風味、補充鈣質,False
馬斯卡彭起司,蛋奶類,白,平,製作甜點(提拉米蘇),False
初榨橄欖油,調味品,黃,平,抗氧化、潤腸,True
巴薩米克醋(紅酒醋),調味品,黑,溫,開胃消食、活血,True
義式香料粉,調味品,青,溫,增香、開胃(注意無蒜粉),True
羅勒葉(甜羅勒),調味品,青,溫,疏風行氣、化濕消食,True
迷迭香,調味品,青,溫,健胃、發汗、安神,True
百里香,調味品,青,溫,祛風、止咳化痰,True
月桂葉,調味品,青,溫,健胃理氣,True
番茄糊(Paste),調味品,赤,涼,濃縮茄紅素、增色提味,True
黑橄欖,調味品,黑,平,清熱解毒、利咽喉,True
酸豆(Capers),調味品,青,溫,祛風散寒、開胃,True
朝鮮薊,根莖類,青,平,疏肝利膽、助消化,False
椰奶,調味品,白,平,生津利尿、殺蟲(注意熱量),True
綠咖哩醬(素),調味品,青,熱,開胃散寒(需確認無五辛),True
紅咖哩醬(素),調味品,赤,熱,開胃散寒(需確認無五辛),True
香茅,調味品,青,溫,疏風解表、祛瘀通絡,True
檸檬葉,調味品,青,平,理氣化痰、開胃,True
南薑,調味品,黃,溫,溫胃散寒、消食止痛,True
羅望子醬(酸子),調味品,黑,涼,清熱解暑、生津止渴,True
泰式河粉,五穀雜糧,白,平,補充熱量,False
西谷米,五穀雜糧,白,平,健脾運化,False
棕櫚糖(椰糖),調味品,黃,溫,補中緩急、風味溫潤,True
打拋葉(聖羅勒),調味品,青,溫,疏風散寒、去濕氣,True
